,transaction_id,request_raw,transactionId,datetime,vehicleno,raw_vehicleno,top_class_name,front_class_name,front_class_name_top_camera,top_class_name_top_camera,final_front_class,final_top_class,lane_id,manual_check_reg,ANPR_frames_process,machineId,colour,material,quantity,rfid,response,status_code,statusMessage,LogID,Message
224,IND0041131120240100226,Found,IND0041131120240100226,13_11_2024_07_20_37,MP05G7722,BharatPetroleum,non_mining,truck,truck,non_mining,truck,non_mining,1.0,,4.0,41.0,Grey_Silver,,0.0,,Found,200,Non Mining Vehicle or not mining full,-1.0,-1
225,IND0041131120240100227,Found,IND0041131120240100227,13_11_2024_07_22_07,MP46H0679,MP46H0679,Not_Found,hywa,hywa,mining_full,hywa,mining_full,1.0,,3.0,41.0,Black,Tar,94.0,,Found,409,Record is not added as there is already a record with same TransactionId IND0041131120240100227 .,518979.0,Duplicate TransactionId
226,IND0041131120240100228,Found,IND0041131120240100228,13_11_2024_07_24_15,MP05G8362,MP05G8362,non_mining,mini_truck,mini_truck,non_mining,mini_truck,non_mining,1.0,,3.0,41.0,White,,0.0,,Found,200,Non Mining Vehicle or not mining full,-1.0,-1
227,IND0041131120240100229,Found,IND0041131120240100229,13_11_2024_07_26_55,,ZF1543,Not_Found,truck,truck,non_mining,truck,non_mining,1.0,2,4.0,41.0,White,,0.0,,Found,200,Non Mining Vehicle or not mining full,-1.0,-1
228,IND0041131120240100230,Found,IND0041131120240100230,13_11_2024_07_29_26,MP04LC9143,MP04LC9143,non_mining,mini_truck,mini_truck,non_mining,mini_truck,non_mining,1.0,,4.0,41.0,Blue,,0.0,,Found,200,Non Mining Vehicle or not mining full,-1.0,-1
229,IND0041131120240100231,Found,IND0041131120240100231,13_11_2024_07_29_54,RJ32GC9088,RJ32GC9088,Not_Found,truck,truck,covered,truck,covered,1.0,,4.0,41.0,White,,0.0,,Found,200,Non Mining Vehicle or not mining full,-1.0,-1
230,IND0041131120240100232,Found,IND0041131120240100232,13_11_2024_07_30_32,RJ27GE2874,RJ27GE2874,non_mining,truck,truck,covered,truck,non_mining,1.0,,4.0,41.0,White,,0.0,,Found,200,Non Mining Vehicle or not mining full,-1.0,-1
231,IND0041131120240100233,Found,IND0041131120240100233,13_11_2024_07_31_54,NL01AE1044,NL01AE1044,non_mining,truck,truck,covered,truck,non_mining,1.0,,4.0,41.0,Black,,0.0,,Found,200,Non Mining Vehicle or not mining full,-1.0,-1
232,IND0041131120240100234,Found,IND0041131120240100234,13_11_2024_07_32_08,MP04HE5797,MP04HE5797,Not_Found,hywa,hywa,mining_full,hywa,mining_full,1.0,,4.0,41.0,Black,Brown_Sand,95.0,,Found,409,Error while adding record!,0.0,
233,IND0041131120240100235,Found,IND0041131120240100235,13_11_2024_07_34_51,,20241113073232,non_mining,truck,truck,non_mining,truck,non_mining,1.0,2,4.0,41.0,Blue,,0.0,,Found,200,Non Mining Vehicle or not mining full,-1.0,-1
234,IND0041131120240100236,Found,IND0041131120240100236,13_11_2024_07_37_09,,20241113073451,non_mining,truck,truck,covered,truck,non_mining,1.0,2,4.0,41.0,Brown,,0.0,,Found,200,Non Mining Vehicle or not mining full,-1.0,-1
235,IND0041131120240100237,Found,IND0041131120240100237,13_11_2024_07_38_11,,20241113073553,mining_full,hywa,hywa,mining_full,hywa,mining_full,1.0,2,1.0,41.0,Blue,Crusher_Khadi,96.0,,Found,200,Data Saved Successfully!,518970.0,Success
236,IND0041131120240100238,Found,IND0041131120240100238,13_11_2024_07_38_49,,20241113073631,Not_Found,hywa,hywa,mining_full,hywa,mining_full,1.0,2,4.0,41.0,Black,Brown_Sand,100.0,,Found,409,Record is not added as there is already a record with same TransactionId IND0041131120240100238 .,519029.0,Duplicate TransactionId
237,IND0041131120240100239,Found,IND0041131120240100239,13_11_2024_07_39_18,,04HE4751,Not_Found,hywa,hywa,mining_full,hywa,mining_full,1.0,2,4.0,41.0,Black,Crusher_Khadi,91.0,,Found,200,Data Saved Successfully!,519009.0,Success
238,IND0041131120240100240,Found,IND0041131120240100240,13_11_2024_07_39_29,MP38ZC3924,MP38ZC3924,Not_Found,hywa,hywa,mining_full,hywa,mining_full,1.0,,4.0,41.0,Black,Crusher_Khadi,93.0,,Found,409,Error while adding record!,0.0,
239,IND0041131120240100241,Found,IND0041131120240100241,13_11_2024_07_39_51,,20241113073732,Not_Found,hywa,hywa,mining_full,hywa,mining_full,1.0,2,3.0,41.0,Black,Brown_Sand,100.0,,Found,200,Data Saved Successfully!,519003.0,Success
240,IND0041131120240100242,Found,IND0041131120240100242,13_11_2024_07_39_58,MH15HH9027,MH15HH9027,Not_Found,truck,truck,covered,truck,covered,1.0,,3.0,41.0,Black,,0.0,,Found,200,Non Mining Vehicle or not mining full,-1.0,-1
241,IND0041131120240100243,Found,IND0041131120240100243,13_11_2024_07_40_27,GJ23V8027,GJ23V8027,non_mining,truck,truck,non_mining,truck,non_mining,1.0,,4.0,41.0,Black,,0.0,,Found,200,Non Mining Vehicle or not mining full,-1.0,-1
242,IND0041131120240100244,Found,IND0041131120240100244,13_11_2024_07_42_05,MP13H0373,MP13H0373,Not_Found,truck,truck,covered,truck,covered,1.0,,3.0,41.0,Black,,0.0,,Found,200,Non Mining Vehicle or not mining full,-1.0,-1
243,IND0041131120240100245,Found,IND0041131120240100245,13_11_2024_07_42_15,CG07CN2630,CG07CN2630,non_mining,truck,truck,non_mining,truck,non_mining,1.0,,4.0,41.0,Black,,0.0,,Found,200,Non Mining Vehicle or not mining full,-1.0,-1
244,IND0041131120240100246,Found,IND0041131120240100246,13_11_2024_07_44_41,MH40CM7115,MH40CM7115,non_mining,truck,truck,covered,truck,non_mining,1.0,,4.0,41.0,Black,,0.0,,Found,200,Non Mining Vehicle or not mining full,-1.0,-1
245,IND0041131120240100247,Found,IND0041131120240100247,13_11_2024_07_45_08,HR38Z8226,HR38Z8226,Not_Found,truck,truck,non_mining,truck,non_mining,1.0,,4.0,41.0,Black,,0.0,,Found,200,Non Mining Vehicle or not mining full,-1.0,-1
246,IND0041131120240100248,Found,IND0041131120240100248,13_11_2024_07_46_07,,20241113074349,mining_full,hywa,hywa,mining_full,hywa,mining_full,1.0,2,4.0,41.0,Black,Brown_Sand,95.0,,Found,409,Record is not added as there is already a record with same TransactionId IND0041131120240100248 .,519016.0,Duplicate TransactionId
247,IND0041131120240100249,Found,IND0041131120240100249,13_11_2024_07_46_32,HR67D3047,HR67D3047,Not_Found,truck,truck,non_mining,truck,non_mining,1.0,,4.0,41.0,Black,,0.0,,Found,200,Non Mining Vehicle or not mining full,-1.0,-1
248,IND0041131120240100250,Found,IND0041131120240100250,13_11_2024_07_47_38,,20241113074520,Not_Found,truck,truck,non_mining,truck,non_mining,1.0,2,4.0,41.0,White,,0.0,,Found,200,Non Mining Vehicle or not mining full,-1.0,-1
249,IND0041131120240100251,Found,IND0041131120240100251,13_11_2024_07_47_48,RJ07GF3671,RJ07GF3671,Not_Found,truck,truck,covered,truck,covered,1.0,,4.0,41.0,Black,,0.0,,Found,200,Non Mining Vehicle or not mining full,-1.0,-1
250,IND0041131120240100252,Found,IND0041131120240100252,13_11_2024_07_49_00,,GA539,Not_Found,truck,truck,non_mining,truck,non_mining,1.0,2,4.0,41.0,Black,,0.0,,Found,200,Non Mining Vehicle or not mining full,-1.0,-1
251,IND0041131120240100253,Found,IND0041131120240100253,13_11_2024_07_49_45,RJ17GB0313,RJ17GB0313,Not_Found,hywa,hywa,mining_full,hywa,mining_full,1.0,,3.0,41.0,Black,Brown_Sand,96.0,,Found,409,Error while adding record!,0.0,
