,id,datetime,top_class_name,front_class_name,lane_id,ANPR_frames_process,Processed,Raw_Top_Category_List,Raw_Front_Category_List,double_entry,final_top_class
913,IND0041201020240101714,20_10_2024_23_47_23,Not_Found,truck,1,4,True,"['Not_Found', 'Not_Found', 'Not_Found']","['truck', 'truck', 'truck']",No,non_mining
914,IND0041201020240100660,20_10_2024_10_52_16,non_mining,truck,1,4,True,"['non_mining', 'non_mining', 'non_mining']","['truck', 'truck', 'truck']",No,non_mining
915,IND0041201020240100470,20_10_2024_08_47_32,non_mining,truck,1,4,True,"['non_mining', 'non_mining', 'non_mining']","['truck', 'truck', 'truck']",No,non_mining
916,IND0041201020240101536,20_10_2024_20_50_54,Not_Found,truck,1,1,False,"['Not_Found', 'Not_Found', 'Not_Found']","['truck', 'truck', 'truck', 'truck', 'truck', 'truck', 'truck', 'truck']",No,Not_Found
917,IND0041201020240101037,20_10_2024_15_07_28,non_mining,truck,1,4,True,"['non_mining', 'non_mining', 'covered']","['truck', 'truck', 'truck']",No,non_mining
918,IND0041201020240100315,20_10_2024_06_51_53,non_mining,truck,1,4,True,"['Not_Found', 'non_mining', 'non_mining']","['truck', 'truck', 'truck']",No,non_mining
919,IND0041201020240100473,20_10_2024_08_50_14,non_mining,truck,1,4,True,"['non_mining', 'non_mining', 'non_mining']","['truck', 'truck', 'truck']",No,non_mining
920,IND0041201020240200228,20_10_2024_05_17_03,Not_Found,truck,2,4,True,"['Not_Found', 'Not_Found', 'Not_Found']","['truck', 'truck', 'truck']",No,non_mining
921,IND0041201020240100515,20_10_2024_09_09_24,non_mining,truck,1,1,False,"['non_mining', 'non_mining', 'mining_empty']","['truck', 'truck', 'truck', 'truck', 'truck', 'mini_truck']",No,non_mining
922,IND0041201020240101252,20_10_2024_17_29_52,non_mining,truck,1,4,True,"['non_mining', 'non_mining', 'non_mining']","['truck', 'truck', 'truck']",No,non_mining
923,IND0041201020240200047,20_10_2024_01_04_48,Not_Found,truck,2,4,True,"['Not_Found', 'Not_Found', 'Not_Found']","['truck', 'truck', 'truck']",No,non_mining
924,IND0041201020240101551,20_10_2024_21_05_58,Not_Found,truck,1,4,True,"['Not_Found', 'Not_Found', 'Not_Found']","['truck', 'truck', 'truck']",No,non_mining
925,IND0041201020240100327,20_10_2024_06_58_36,non_mining,truck,1,4,True,"['non_mining', 'non_mining', 'non_mining']","['truck', 'truck', 'truck']",Yes,non_mining
926,IND0041201020240100550,20_10_2024_09_33_20,non_mining,truck,1,4,True,"['non_mining', 'non_mining', 'non_mining']","['truck', 'truck', 'truck']",No,non_mining
927,IND0041201020240200451,20_10_2024_11_48_03,non_mining,truck,2,4,True,"['Not_Found', 'non_mining', 'non_mining']","['truck', 'truck', 'truck']",No,non_mining
928,IND0041201020240200405,20_10_2024_10_45_02,covered,truck,2,4,True,"['covered', 'covered', 'covered']","['truck', 'truck', 'truck']",No,covered
929,IND0041201020240100419,20_10_2024_08_13_53,non_mining,mini_truck,1,4,True,"['non_mining', 'non_mining', 'mining_empty']","['mini_truck', 'mini_truck', 'mini_truck']",No,non_mining
930,IND0041201020240100494,20_10_2024_08_59_45,mining_full,hywa,1,2,False,"['Not_Found', 'mining_full', 'mining_full']","['hywa', 'hywa', 'hywa', 'hywa', 'hywa', 'hywa', 'hywa', 'hywa']",No,mining_full
931,IND0041201020240101174,20_10_2024_16_43_52,non_mining,mini_truck,1,4,True,"['non_mining', 'non_mining', 'non_mining']","['mini_truck', 'mini_truck', 'mini_truck']",No,non_mining
932,IND0041201020240101097,20_10_2024_15_46_06,non_mining,truck,1,1,False,['non_mining'],['truck'],No,non_mining
933,IND0041201020240200063,20_10_2024_01_25_55,Not_Found,truck,2,4,True,"['Not_Found', 'Not_Found', 'Not_Found']","['truck', 'truck', 'truck']",No,covered
934,IND0041201020240100273,20_10_2024_05_46_17,Not_Found,truck,1,4,True,"['Not_Found', 'Not_Found', 'Not_Found']","['truck', 'truck', 'truck']",No,Not_Found
935,IND0041201020240200243,20_10_2024_05_36_50,Not_Found,truck,2,1,False,['Not_Found'],['truck'],Yes,covered
936,IND0041201020240200796,20_10_2024_20_37_00,Not_Found,truck,2,4,True,"['Not_Found', 'Not_Found', 'Not_Found']","['truck', 'truck', 'truck']",No,non_mining
937,IND0041201020240100440,20_10_2024_08_28_07,non_mining,truck,1,4,True,"['Not_Found', 'non_mining', 'non_mining']","['truck', 'truck', 'truck']",No,non_mining
938,IND0041201020240101010,20_10_2024_14_53_42,non_mining,mini_truck,1,4,True,"['Not_Found', 'non_mining', 'non_mining']","['mini_truck', 'mini_truck', 'mini_truck']",No,non_mining
939,IND0041201020240100015,20_10_2024_00_20_21,Not_Found,truck,1,4,True,"['Not_Found', 'Not_Found', 'Not_Found']","['truck', 'truck', 'truck']",No,non_mining
940,IND0041201020240100467,20_10_2024_08_46_38,mining_empty,hywa,1,4,True,"['Not_Found', 'mining_empty', 'mining_empty']","['hywa', 'hywa', 'hywa']",No,mining_empty
941,IND0041201020240101187,20_10_2024_16_54_14,non_mining,truck,1,4,True,"['Not_Found', 'non_mining', 'non_mining']","['truck', 'truck', 'truck']",No,non_mining
942,IND0041201020240100087,20_10_2024_01_14_24,Not_Found,truck,1,1,False,['Not_Found'],['truck'],Yes,non_mining
943,IND0041201020240101672,20_10_2024_22_53_20,Not_Found,truck,1,4,True,"['Not_Found', 'Not_Found', 'Not_Found']","['truck', 'truck', 'truck']",No,non_mining
944,IND0041201020240101021,20_10_2024_14_57_13,non_mining,truck,1,3,True,"['non_mining', 'non_mining']","['truck', 'truck']",No,non_mining
945,IND0041201020240100461,20_10_2024_08_44_02,Not_Found,truck,1,3,True,"['Not_Found', 'non_mining']","['truck', 'truck']",No,non_mining
946,IND0041201020240100796,20_10_2024_12_31_35,non_mining,truck,1,4,True,"['non_mining', 'non_mining', 'covered']","['truck', 'truck', 'truck']",No,non_mining
947,IND0041201020240100759,20_10_2024_12_09_54,Not_Found,truck,1,4,True,"['Not_Found', 'Not_Found', 'Not_Found']","['truck', 'truck', 'truck']",No,covered
948,IND0041201020240100973,20_10_2024_14_29_58,mining_empty,mini_truck,1,2,True,['mining_empty'],['mini_truck'],No,mining_empty
949,IND0041201020240100458,20_10_2024_08_42_03,Not_Found,truck,1,3,True,"['Not_Found', 'Not_Found']","['truck', 'truck']",No,non_mining
950,IND0041201020240200257,20_10_2024_06_22_50,covered,mini_truck,2,4,True,"['covered', 'covered', 'covered']","['mini_truck', 'mini_truck', 'mini_truck']",No,covered
951,IND0041201020240200363,20_10_2024_09_32_02,non_mining,truck,2,4,True,"['Not_Found', 'non_mining', 'non_mining']","['truck', 'truck', 'truck']",No,non_mining
952,IND0041201020240101457,20_10_2024_20_00_02,Not_Found,mini_truck,1,3,False,"['Not_Found', 'Not_Found', 'Not_Found']","['mini_truck', 'mini_truck', 'mini_truck', 'mini_truck']",No,non_mining
953,IND0041201020240100980,20_10_2024_14_36_27,non_mining,truck,1,4,True,"['non_mining', 'non_mining', 'non_mining']","['truck', 'truck', 'truck']",No,non_mining
954,IND0041201020240100290,20_10_2024_06_29_05,non_mining,truck,1,4,True,"['non_mining', 'non_mining', 'non_mining']","['truck', 'truck', 'truck']",No,non_mining
955,IND0041201020240200658,20_10_2024_17_21_41,Not_Found,truck,2,3,True,"['Not_Found', 'non_mining']","['truck', 'truck']",No,covered
956,IND0041201020240100431,20_10_2024_08_23_01,Not_Found,truck,1,4,True,"['Not_Found', 'Not_Found', 'Not_Found']","['truck', 'truck', 'truck']",No,covered
957,IND0041201020240200803,20_10_2024_20_51_26,Not_Found,mini_truck,2,4,True,"['Not_Found', 'Not_Found', 'non_mining']","['mini_truck', 'mini_truck', 'mini_truck']",No,covered
958,IND0041201020240100208,20_10_2024_03_54_57,Not_Found,truck,1,1,False,"['Not_Found', 'Not_Found', 'Not_Found']","['truck', 'truck', 'truck', 'truck', 'truck', 'truck', 'truck', 'truck', 'truck']",No,covered
959,IND0041201020240100153,20_10_2024_02_37_21,Not_Found,truck,1,4,True,"['Not_Found', 'Not_Found', 'Not_Found']","['truck', 'truck', 'truck']",No,mining_full
960,IND0041201020240100654,20_10_2024_10_48_56,non_mining,mini_truck,1,1,False,"['non_mining', 'non_mining', 'non_mining']","['mini_truck', 'mini_truck', 'mini_truck', 'mini_truck', 'mini_truck', 'mini_truck', 'mini_truck', 'mini_truck']",No,non_mining
